"SamplePeriod","TriggerSample","CompressedData"
"0.000001","399","True"
"SampleNumber","I2C IO"
"0",""
"391","S"
"405","R:1010000b"
"489","A"
"500","00000000b"
"783","N"
"869","P"
"894","S"
"908","W:1010000b"
"992","A"
"1003","00000000b"
"1087","A"
"1116","Sr"
"1129","R:1010000b"
"1214","A"
"1235","00000000b"
"1319","A"
"1340","11111111b"
"1425","A"
"1446","11111111b"
"1530","A"
"1552","11111111b"
"1636","A"
"1762","11111111b"
"1846","A"
"1868","11111111b"
"1952","A"
"1973","11111111b"
"2058","A"
"2079","00000000b"
"2163","A"
"2222","00010000b"
"2306","A"
"2327","10101100b"
"2412","A"
"2433","01100001b"
"2517","A"
"2538","10100010b"
"2623","A"
"2646","01000010b"
"2731","A"
"2752","01010101b"
"2836","A"
"2857","01010010b"
"2942","A"
"2963","00110001b"
"3047","A"
"3142","00001001b"
"3226","A"
"3247","00100011b"
"3332","A"
"3353","00000001b"
"3437","A"
"3458","00000011b"
"3543","A"
"3593","10000000b"
"3677","A"
"3698","00110101b"
"3783","A"
"3804","00011110b"
"3888","A"
"3909","01111000b"
"3994","A"
"4017","11101010b"
"4102","A"
"4123","01001100b"
"4207","A"
"4228","10110101b"
"4313","A"
"4334","10101010b"
"4418","A"
"4442","01010011b"
"4526","A"
"4547","01001111b"
"4632","A"
"4653","10100001b"
"4737","A"
"4758","00100100b"
"4843","A"
"4866","00001111b"
"4950","A"
"4971","01010000b"
"5056","A"
"5077","01010100b"
"5161","A"
"5183","10100101b"
"5267","A"
"5290","01001011b"
"5375","A"
"5396","00000000b"
"5480","A"
"5501","01110001b"
"5586","A"
"5607","01001111b"
"5691","A"
"5740",""
